hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::633806454618,S1,633806454618,2070,-0.020633686199402843,0.038749165077573235,-0.5324936978150518,180,1.6438948687423878,0.7028079472236309,0.5943841055527381
S1::885b2e398419,S1,885b2e398419,2628,-0.03805282048702841,0.03279264788761787,-1.1604070710434067,180,1.599888915231544,0.8770584454016485,0.24588310919670286
S1::420e76341331,S1,420e76341331,252,0.01588366540870006,0.0741187467868796,0.2143002424794339,135,1.1905370542008047,0.41515646447940313,0.8303129289588063
S1::681885a5f1b1,S1,681885a5f1b1,527,-0.01799350023564464,0.05027649735017397,-0.3578908870743434,170,1.194834483125872,0.6397875146445429,0.7204249707109143
S1::cf9140873b2f,S1,cf9140873b2f,252,0.06489529627410325,0.08409875199971825,0.7716558775369301,135,1.387027725212651,0.22015913493972006,0.4403182698794401
S1::e0dcb3bf3658,S1,e0dcb3bf3658,527,0.014792334435852138,0.05713027858791225,0.2589228479446262,170,1.3631118539274059,0.39784738453108126,0.7956947690621625
S1::2b6acf9549a8,S1,2b6acf9549a8,252,-0.06571015487045531,0.05873437973522977,-1.1187681757545038,135,0.9862688315747355,0.8683804741463057,0.2632390517073886
S1::3e85d115c998,S1,3e85d115c998,528,-0.0001068366796007064,0.05836604960975729,-0.0018304593220721604,170,1.4446166829013358,0.5007302472083375,0.9985395055833253
S1::412fa839bcda,S1,412fa839bcda,252,-0.020237431296018647,0.07845595610430552,-0.25794639822008436,135,1.2550342998963042,0.6017758622180653,0.7964482755638695
S1::a65a9f72bf0e,S1,a65a9f72bf0e,527,0.09207301177985086,0.09563811789945104,0.9627229581896588,170,2.3011481679569847,0.16784328610490107,0.33568657220980214
S1::8aa00744b9e3,S1,8aa00744b9e3,252,0.01575900948834383,0.07377926596360272,0.21359672372070185,135,1.1886112116685816,0.41543077726579136,0.8308615545315827
S1::67ca48db1c06,S1,67ca48db1c06,527,-0.002448015953788137,0.0496207163786348,-0.04933455484818796,170,1.1908619949006702,0.519673658876043,0.960652682247914
S1::47660f96d3e4,S1,47660f96d3e4,252,0.028052252220564306,0.08300339645603705,0.33796511249298394,135,1.3496834238325253,0.3676947393185559,0.7353894786371118
S1::2177adc69f7e,S1,2177adc69f7e,527,-0.026639417873425716,0.05438558162940049,-0.4898250064687112,170,1.2979851034968135,0.6878711330522203,0.6242577338955595
S1::2afe80194755,S1,2afe80194755,252,-0.0564631902915715,0.05891050206419023,-0.9584571224677039,135,0.9870774150438938,0.831083848609951,0.337832302780098
S1::bd8c694f06b4,S1,bd8c694f06b4,528,-0.04901581644801236,0.04461248029727164,-1.0987018906234185,170,1.077735838562922,0.8640509411782311,0.2718981176435378
S1::b0228b495546,S1,b0228b495546,252,-0.0229707742439642,0.07658309340593362,-0.29994576116436206,135,1.2267953865770884,0.6178907359896268,0.7642185280207463
