sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,32861,-1,-1.3049490538573456,0.5422125181949622,-1.6462882096069176,2012,11,4,7,15,AS,1.140785714285682,0.3305,md,False,TREND_DOWN,0.8837479655893979,1.5059795880033637,ALIGN
HTF_PBK_TREND,33571,-1,-1.3672217353198701,0.31551270815063615,-1.1095530236634459,2012,12,1,23,47,LT,0.5747857142856836,0.015,lo,True,TREND_DOWN,0.45448818897636845,0.24530881073667102,ALIGN
HTF_PBK_TREND,35149,-1,-1.1528918080642283,0.43769385148695295,-1.6971355592046213,2013,1,2,0,1,AS,1.2052857142856834,0.3765,md,False,TREND_DOWN,0.7505241756147135,-0.48660661372517666,ALIGN
HTF_PBK_TREND,38455,-1,-1.270235407932915,0.8026443082876306,-1.18252176717181,2013,2,2,23,46,LT,1.1502142857142255,0.377,md,True,TREND_DOWN,0.20659194318055768,1.8770415450539069,ALIGN
HTF_PBK_TREND,38494,-1,1.93253361243056,2.360357459141827,-0.03002978826181891,2013,2,3,8,17,LN,1.9708928571428714,0.722,hi,True,TREND_DOWN,0.2186694805035487,-1.2796230859834674,ALIGN
HTF_PBK_TREND,38518,-1,1.1301762582289332,1.833510299426639,-0.344517590429656,2013,2,3,14,29,NY,3.1424642857143192,0.909,hi,False,TREND_DOWN,0.08000447577487473,-0.9204559660866369,ALIGN
HTF_PBK_TREND,40875,-1,1.0542702330781435,1.7303689687794772,-0.6135718586049509,2013,4,6,23,47,LT,1.3548928571428698,0.5345,md,True,TREND_DOWN,0.8280411151371683,-1.6086142815722047,ALIGN
HTF_PBK_TREND,40927,-1,1.8776820902058113,2.401547219383988,-0.5216756677857262,2013,4,0,12,25,LN,1.5527857142857815,0.6585,md,True,TREND_DOWN,0.7623723915036434,-1.0365242191452864,ALIGN
HTF_PBK_TREND,41109,-1,1.9067334446299402,2.1562604340567586,-0.4092376182526525,2013,4,2,11,23,LN,1.8895357142857034,0.7115,hi,True,TREND_DOWN,0.3851985651410686,-1.3857901600922664,ALIGN
HTF_PBK_TREND,42078,-1,1.7301127214170708,2.1987117552334077,-0.1861513687600551,2013,4,2,22,45,LT,1.0481428571428393,0.204,lo,True,TREND_DOWN,0.8431912922649326,2.694289219026745,ALIGN
HTF_PBK_TREND,44031,-1,-1.0878590899559655,0.20685678339274,-1.197211155378471,2013,5,3,23,47,LT,1.1999642857142914,0.0385,lo,True,TREND_DOWN,0.7548335706872008,-4.065120985743545,ALIGN
HTF_PBK_TREND,44071,-1,-1.0654738651457145,0.2004844128447385,-1.2563481521993871,2013,5,4,9,19,LN,2.620142857142826,0.5255,md,True,TREND_DOWN,0.42729746804684937,-1.23905457717682,ALIGN
HTF_PBK_TREND,44232,-1,1.9159225443965093,2.045449984950333,-0.05488110765526438,2013,5,1,7,15,AS,1.7732500000000104,0.2355,lo,True,TREND_DOWN,0.14695408575092506,-0.46327365007754673,ALIGN
